iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
RZR,Ramsar Airport,36.90701,50.687316,-70.0,AS,IR,IR-02,Ramsar,medium_airport,False,IR
RZV,Rize–Artvin Airport,41.179766,40.848802,16.0,AS,TR,TR-53,Rize,medium_airport,False,TR
SAB,Juancho E. Yrausquin Airport,17.645351,-63.220571,60.0,,BQ,BQ-SA,Zion's Hill,medium_airport,False,BQ
SAF,Santa Fe Municipal Airport,35.6171,-106.088997,6348.0,,US,US-NM,Santa Fe,medium_airport,False,US
SAG,Shirdi Airport,19.688752,74.377354,1926.0,AS,IN,IN-MM,Kakadi,medium_airport,False,IN
SAH,Sanaa International Airport,15.4763,44.2197,7216.0,AS,YE,YE-SA,Sanaa,medium_airport,False,YE
SAI,Siem Reap-Angkor International Airport,13.369167,104.223056,191.0,AS,KH,KH-17,Siem Reap,large_airport,False,KH
SAL,Monseñor Óscar Arnulfo Romero International Airport,13.4409,-89.055702,101.0,,SV,SV-PA,San Salvador (San Luis Talpa),large_airport,False,SV
SAN,San Diego International Airport,32.7336006165,-117.190002441,17.0,,US,US-CA,San Diego,large_airport,False,US
SAP,Ramón Villeda Morales International Airport,15.4526,-87.923599,91.0,,HN,HN-CR,San Pedro Sula,medium_airport,False,HN
SAQ,San Andros Airport,25.053800582885746,-78.04900360107422,5.0,,BS,BS-NS,Andros Island,medium_airport,False,BS
SAT,San Antonio International Airport,29.533701,-98.469803,809.0,,US,US-TX,San Antonio,large_airport,False,US
SAV,Savannah Hilton Head International Airport,32.127602,-81.202103,50.0,,US,US-GA,Savannah,large_airport,False,US
SAW,Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,312.0,AS,TR,TR-34,"Pendik, Istanbul",large_airport,False,TR
SBA,Santa Barbara Municipal Airport,34.426201,-119.839996,13.0,,US,US-CA,Santa Barbara,medium_airport,False,US
SBD,San Bernardino International Airport,34.095402,-117.235001,1159.0,,US,US-CA,San Bernardino,medium_airport,False,US
SBH,Saint Barthélemy - Gustaf III Airport,17.9044,-62.843601,49.0,,BL,BL-U-A,Gustavia,medium_airport,False,BL
SBN,South Bend Regional Airport,41.708698,-86.317299,799.0,,US,US-IN,South Bend,medium_airport,False,US
SBP,San Luis County Regional Airport,35.236801147499996,-120.641998291,212.0,,US,US-CA,San Luis Obispo,medium_airport,False,US
SBT,Sabetta International Airport,71.219167,72.052222,46.0,AS,RU,RU-YAN,Sabetta,medium_airport,False,RU
SBW,Sibu Airport,2.2616,111.985001,122.0,AS,MY,MY-13,Sibu,medium_airport,False,MY
SBY,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,52.0,,US,US-MD,Salisbury,medium_airport,False,US
SBZ,Sibiu International Airport,45.785841,24.086666,1496.0,EU,RO,RO-SB,Sibiu,medium_airport,False,RO
SCC,Deadhorse Airport,70.19470215,-148.4649963,65.0,,US,US-AK,Deadhorse,medium_airport,False,US
SCE,State College Regional Airport,40.849374,-77.84852,1239.0,,US,US-PA,State College,medium_airport,False,US
SCK,Stockton Metropolitan Airport,37.893279,-121.238079,33.0,,US,US-CA,Stockton,medium_airport,False,US
SCL,Comodoro Arturo Merino Benítez International Airport,-33.393001556396484,-70.78579711914062,1555.0,SA,CL,CL-RM,Santiago,large_airport,False,CL
SCN,Saarbrücken Airport,49.2145996094,7.10950994492,1058.0,EU,DE,DE-SL,Saarbrücken,medium_airport,False,DE
SCO,Aktau Airport,43.860093,51.09086,73.0,AS,KZ,KZ-MAN,Aktau,medium_airport,False,KZ
SCQ,Santiago-Rosalía de Castro Airport,42.896301,-8.41514,1213.0,EU,ES,ES-GA,Santiago de Compostela,large_airport,False,ES
SCR,Scandinavian Mountains Airport,61.158393,12.842503,1608.0,EU,SE,SE-W,Malung-Sälen,medium_airport,False,SE
SCT,Socotra International Airport,12.6307,53.9058,146.0,AS,YE,YE-SU,Mori,medium_airport,False,YE
SCU,Antonio Maceo International Airport,19.96980094909668,-75.83540344238281,249.0,,CU,CU-13,Santiago,medium_airport,False,CU
SCV,Suceava Stefan cel Mare Airport,47.6875,26.35409927368164,1375.0,EU,RO,RO-SV,Suceava,medium_airport,False,RO
