country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SFB,Orlando Sanford International Airport,Orlando,large_airport,False,3062.7
US,SFB,Orlando Sanford International Airport,Orlando,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,3062.7
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SJC,Norman Y. Mineta San Jose International Airport,San Jose,large_airport,False,1730.98
US,SJC,Norman Y. Mineta San Jose International Airport,San Jose,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1730.98
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SLC,Salt Lake City International Airport,Salt Lake City,large_airport,False,928.11
US,SLC,Salt Lake City International Airport,Salt Lake City,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,928.11
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SMF,Sacramento International Airport,Sacramento,large_airport,False,1601.52
US,SMF,Sacramento International Airport,Sacramento,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1601.52
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SNA,John Wayne Orange County International Airport,Santa Ana,large_airport,False,1867.94
US,SNA,John Wayne Orange County International Airport,Santa Ana,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1867.94
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,large_airport,False,3108.54
US,SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,3108.54
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,STL,St. Louis Lambert International Airport,St Louis,large_airport,False,1674.94
US,STL,St. Louis Lambert International Airport,St Louis,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1674.94
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SYR,Syracuse Hancock International Airport,Syracuse,large_airport,False,2420.57
US,SYR,Syracuse Hancock International Airport,Syracuse,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2420.57
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,TPA,Tampa International Airport,Tampa,large_airport,False,3057.34
